iter	RMSE
0	0.9044880372
1	0.8840713737
2	0.8605273688
3	0.8383198723
4	0.8195139236
5	0.8030512643
6	0.7824092179
7	0.7651596841
8	0.7455797515
9	0.72928949
10	0.7128352629
11	0.6975986247
12	0.6849250208
13	0.6723365266
14	0.6607087861
15	0.648201062
16	0.6377173228
17	0.6234978496
18	0.6129689306
19	0.6012285353
20	0.5909449817
21	0.5794024362
22	0.5689948334
23	0.5582024573
24	0.5482254286
25	0.5389585501
26	0.529167251
27	0.5224275549
28	0.5129214461
29	0.5064453173
30	0.4988484752
31	0.4922388376
32	0.486207399
33	0.4809470399
34	0.4760082968
35	0.470937074
36	0.4652108872
37	0.460737133
38	0.45403376
39	0.45049576
40	0.4461373554
41	0.4408767906
42	0.434549985
43	0.4310785856
44	0.4280859012
45	0.4250142083
46	0.4202304084
47	0.4168781185
48	0.4142609077
49	0.4110185487
50	0.406822856
51	0.4035617926
52	0.4013098049
53	0.3986469867
54	0.3956684503
55	0.3933128169
56	0.3894472749
57	0.3864776958
58	0.3842799424
59	0.3819502893
60	0.3809157323
61	0.3787915897
62	0.3759053459
63	0.3734224298
64	0.3722459835
65	0.3697853584
66	0.3677608048
67	0.3652259547
68	0.3627211662
69	0.360882201
70	0.3589614166
71	0.3568654415
72	0.3552852428
73	0.3537346633
74	0.3528093461
75	0.3508140331
76	0.3500525163
77	0.348068616
78	0.3456208755
79	0.345041945
80	0.3438551699
81	0.3422144062
82	0.3409248745
83	0.3385397842
84	0.3363585228
85	0.3336417948
86	0.3319757679
87	0.3303082591
88	0.3290604328
89	0.3282682456
90	0.3260493836
91	0.3244528981
92	0.3229493948
93	0.3214148339
94	0.3205779644
95	0.3198848715
96	0.319323984
97	0.3178645473
98	0.3167607462
99	0.3152634362
100	0.3138798963
101	0.3125282922
102	0.3115111941
103	0.3105346864
104	0.3093132039
105	0.3087002285
106	0.3072435106
107	0.3060960942
108	0.305828206
109	0.3051492029
110	0.3042818244
111	0.3030024439
112	0.3023125399
113	0.301367086
114	0.3002658463
115	0.2992382432
116	0.297974235
117	0.2969932675
118	0.2957687382
119	0.2946060173
120	0.2928228044
121	0.2915015831
122	0.2899333008
123	0.2888885966
124	0.2884665499
125	0.2866993204
126	0.2860464813
127	0.2842649721
128	0.2837354635
129	0.2831033717
130	0.2816451288
131	0.2807000182
132	0.2802706686
133	0.2785052309
134	0.2768480991
135	0.2757320981
136	0.2753491603
137	0.2742534971
138	0.2736683613
139	0.2732861881
140	0.2723626821
141	0.2716547338
142	0.2711748949
143	0.2699783302
144	0.2696293891
145	0.2692861193
146	0.2692333683
147	0.2676021982
148	0.2664497761
149	0.2656815142
150	0.2649427279
151	0.2644130816
152	0.2640653172
153	0.2629467967
154	0.2621777781
155	0.261064876
156	0.2605107063
157	0.2597255445
158	0.2589837554
159	0.2587879104
160	0.2577388301
161	0.2573344781
162	0.2565826743
163	0.2555978509
164	0.2550322584
165	0.2536368679
166	0.2532170902
167	0.2527212539
168	0.2514410481
169	0.2501075855
170	0.2494093729
171	0.2487003297
172	0.2479608576
173	0.2478175813
174	0.246794902
175	0.2456693897
176	0.2450258378
177	0.2444109312
178	0.2436723932
179	0.2436006594
180	0.2433453971
181	0.2429567761
182	0.2426697494
183	0.2412993435
184	0.2403538973
185	0.2395514398
186	0.2391290538
187	0.2387260936
188	0.238287116
189	0.2377023768
190	0.2371523387
191	0.2365515285
192	0.2359635525
193	0.2356732975
194	0.23500663
195	0.2347325094
196	0.2344055032
197	0.2336931987
198	0.233519763
199	0.2329109187
200	0.2323485857
201	0.2318108726
202	0.2314858426
203	0.2307183136
204	0.2304014066
205	0.2301514069
206	0.2296166348
207	0.2291764296
208	0.2287612611
209	0.2284707201
210	0.2281726771
211	0.2279993297
212	0.2277994571
213	0.2275843667
214	0.2273730253
215	0.2267180119
216	0.2258214923
217	0.2257126101
218	0.2252025437
219	0.2247786568
220	0.2240816217
221	0.2238080623
222	0.2233164981
223	0.2228384307
224	0.2224938069
225	0.2223430866
226	0.2220595374
227	0.2212254851
228	0.2205356127
229	0.21986783
230	0.2194222681
