iter	Passed	Remaining
0	4	3358
1	9	3912
2	13	3578
3	17	3388
4	20	3262
5	24	3201
6	27	3151
7	31	3118
8	34	3074
9	38	3050
10	42	3023
11	45	3003
12	49	2988
13	52	2972
14	56	2951
15	59	2933
16	65	3019
17	69	3018
18	73	3008
19	76	2990
20	80	2975
21	83	2965
22	87	2949
23	88	2862
24	92	2854
25	95	2848
26	99	2842
27	102	2836
28	106	2830
29	110	2824
30	114	2849
31	118	2854
32	122	2852
33	126	2846
34	130	2844
35	133	2833
36	137	2829
37	140	2822
38	144	2815
39	147	2807
40	151	2801
41	154	2795
42	158	2791
43	162	2783
44	166	2785
45	169	2777
46	172	2770
47	176	2764
48	179	2758
49	183	2751
50	186	2744
51	190	2737
52	193	2728
53	197	2722
54	200	2717
55	204	2712
56	207	2703
57	210	2699
58	214	2695
59	218	2692
60	223	2701
61	227	2702
62	230	2700
63	234	2693
64	237	2689
65	241	2684
66	244	2679
67	248	2675
68	251	2668
69	255	2662
70	258	2657
71	262	2651
72	263	2628
73	265	2601
74	268	2596
75	272	2591
76	275	2588
77	279	2584
78	282	2582
79	286	2576
80	289	2573
81	293	2570
82	298	2575
83	302	2576
84	306	2574
85	309	2570
86	313	2566
87	316	2562
88	320	2557
89	323	2552
90	327	2548
91	330	2544
92	334	2540
93	337	2535
94	341	2531
95	344	2527
96	348	2523
97	351	2518
98	355	2514
99	358	2511
100	362	2508
101	365	2504
102	369	2501
103	373	2498
104	376	2494
105	380	2490
106	383	2485
107	387	2480
108	390	2477
109	394	2474
110	397	2469
111	401	2466
112	402	2449
113	406	2444
114	409	2440
115	413	2435
116	416	2431
117	420	2427
118	423	2423
119	427	2420
120	430	2416
121	434	2412
122	437	2408
123	441	2405
124	444	2399
125	447	2395
126	451	2391
127	454	2386
128	458	2382
129	460	2372
130	463	2368
131	467	2364
132	470	2361
133	474	2357
134	477	2353
135	481	2349
136	482	2336
137	485	2331
138	487	2316
139	490	2312
140	494	2309
141	497	2305
142	500	2301
143	504	2297
144	507	2293
145	511	2291
146	515	2288
147	518	2284
148	522	2281
149	525	2277
150	529	2274
151	532	2270
152	536	2266
153	539	2263
154	542	2259
155	546	2256
156	550	2252
157	553	2249
158	557	2245
159	560	2241
160	563	2236
161	566	2232
162	570	2228
163	573	2224
164	576	2220
165	580	2215
166	583	2211
167	586	2207
168	590	2203
169	593	2199
170	596	2195
171	600	2191
172	603	2187
173	606	2183
174	610	2180
175	613	2176
176	617	2172
177	620	2169
178	624	2165
179	627	2161
180	631	2158
181	634	2154
182	637	2150
183	641	2146
184	644	2143
185	648	2140
186	651	2136
187	655	2133
188	658	2130
189	662	2126
190	665	2122
191	669	2119
192	672	2115
193	676	2112
194	679	2108
195	683	2105
196	686	2102
197	690	2098
198	693	2095
199	697	2091
200	700	2087
201	704	2084
202	707	2080
203	710	2077
204	714	2073
205	718	2070
206	721	2066
207	724	2062
208	728	2059
209	731	2055
210	735	2052
211	738	2048
212	742	2045
213	745	2040
214	748	2037
215	752	2034
216	755	2030
217	759	2027
218	762	2023
219	766	2020
220	769	2016
221	773	2013
222	776	2009
223	779	2005
224	783	2001
225	786	1998
226	790	1994
227	793	1990
228	796	1986
229	800	1983
230	803	1980
231	807	1976
232	810	1972
233	814	1969
234	817	1965
235	820	1961
236	824	1958
237	827	1954
238	831	1951
239	835	1948
240	838	1945
241	841	1941
242	845	1937
243	848	1933
244	852	1930
245	855	1926
246	858	1922
247	862	1919
248	865	1915
249	868	1911
250	872	1907
251	875	1904
252	879	1901
253	882	1897
254	886	1894
255	889	1891
256	893	1887
257	896	1883
258	899	1879
259	903	1876
260	906	1872
261	910	1868
262	913	1865
263	916	1861
264	920	1857
265	923	1854
266	927	1850
267	930	1847
268	933	1843
269	937	1840
270	940	1836
271	944	1832
272	947	1828
273	950	1825
274	954	1821
275	957	1818
276	962	1816
277	969	1820
278	975	1821
279	980	1821
280	985	1820
281	990	1818
282	995	1817
283	999	1816
284	1003	1814
285	1008	1812
286	1012	1810
287	1017	1808
288	1021	1806
289	1025	1803
290	1032	1805
291	1036	1803
292	1040	1800
293	1044	1797
294	1048	1794
295	1052	1791
296	1056	1788
297	1059	1785
298	1063	1782
299	1067	1779
300	1071	1776
301	1075	1773
302	1079	1770
303	1083	1767
304	1086	1763
305	1090	1760
306	1094	1757
307	1098	1754
308	1102	1751
309	1106	1748
310	1109	1745
311	1113	1742
312	1117	1739
313	1121	1736
314	1125	1733
315	1129	1730
316	1133	1727
317	1137	1723
318	1141	1720
319	1145	1717
320	1148	1714
321	1152	1711
322	1156	1708
323	1160	1705
324	1164	1702
325	1168	1699
326	1172	1696
327	1176	1693
328	1180	1690
329	1184	1687
330	1188	1684
331	1192	1680
332	1195	1676
333	1199	1673
334	1203	1670
335	1206	1666
336	1210	1663
337	1214	1660
338	1218	1657
339	1222	1653
340	1226	1650
341	1230	1647
342	1234	1644
343	1238	1641
344	1242	1638
345	1246	1634
346	1249	1631
347	1253	1628
348	1257	1625
349	1261	1622
350	1265	1619
351	1269	1615
352	1274	1613
353	1279	1611
354	1283	1608
355	1287	1605
356	1291	1602
357	1295	1599
358	1299	1596
359	1303	1593
360	1307	1589
361	1311	1586
362	1315	1583
363	1319	1580
364	1323	1577
365	1326	1573
366	1331	1571
367	1336	1568
368	1340	1565
369	1344	1562
370	1348	1558
371	1352	1555
372	1356	1552
373	1359	1549
374	1363	1545
375	1367	1542
376	1371	1538
377	1375	1535
378	1379	1532
379	1383	1529
380	1387	1526
381	1391	1522
382	1395	1519
383	1399	1515
384	1402	1512
385	1406	1508
386	1410	1505
387	1414	1501
388	1418	1498
389	1421	1494
390	1425	1491
391	1429	1487
392	1433	1484
393	1437	1480
394	1441	1477
395	1445	1474
396	1449	1471
397	1452	1467
398	1456	1464
399	1460	1460
400	1464	1457
401	1468	1454
402	1473	1451
403	1478	1448
404	1482	1445
405	1486	1442
406	1490	1438
407	1493	1435
408	1497	1432
409	1502	1428
410	1506	1425
411	1510	1422
412	1515	1419
413	1520	1417
414	1524	1414
415	1528	1410
416	1532	1407
417	1536	1403
418	1540	1400
419	1544	1397
420	1548	1393
421	1552	1390
422	1556	1387
423	1560	1383
424	1564	1380
